Library_Name_s, env_biome_s, env_feature_s, lat, lon
P00115, city, subway, 40.75, 73.83
P00116, city, subway, 40.71, 74.00
P00117_hudsonmiseq, city, subway, 40.71, 74.00
P00117, city, subway, 40.71, 74.00
P00118_hudsonmiseq, city, subway, 40.71, 73.99
P00118, city, subway, 40.71, 73.99
P00120_hudsonmiseq, city, subway, 40.71, 73.98
P00120, city, subway, 40.71, 73.98
P00122, city, subway, 40.70, 73.95
P00124_hudsonmiseq, city, subway, 40.70, 73.94
P00124, city, subway, 40.70, 73.94
P00125_hudsonmiseq, city, subway, 40.69, 73.93
P00125, city, subway, 40.69, 73.93
P00126, city, subway, 40.69, 73.93
P00127_hudsonmiseq, city, subway, 40.69, 73.92
P00127, city, subway, 40.69, 73.92
P00128_hudsonmiseq, city, subway, 40.71, 73.88
P00128, city, subway, 40.71, 73.88
P00129, city, subway, 40.71, 73.88
P00130_hudsonmiseq, city, subway, 40.71, 73.88
P00130, city, subway, 40.71, 73.88
P00131, city, subway, 40.70, 73.89
P00132_hudsonmiseq, city, subway, 40.70, 73.89
P00132, city, subway, 40.70, 73.89
P00133_hudsonmiseq, city, subway, 40.70, 73.90
P00133, city, subway, 40.70, 73.90
P00134_hudsonmiseq, city, subway, 40.69, 73.93
P00134, city, subway, 40.69, 73.93
P00135_hudsonmiseq, city, subway, 40.67, 73.90
P00135, city, subway, 40.67, 73.90
P00139, city, subway, 40.68, 73.92
P00141, city, subway, 40.67, 73.88
P00143_hudsonmiseq, city, subway, 40.68, 73.87
P00143, city, subway, 40.68, 73.87
P00147, city, subway, 40.69, 73.85
P00148_hudsonmiseq, city, subway, 40.69, 73.85
P00148, city, subway, 40.69, 73.85
P00149_hudsonmiseq, city, subway, 40.69, 73.84
P00149, city, subway, 40.69, 73.84
P00150, city, subway, 40.70, 73.80
P00151_hudsonmiseq, city, subway, 40.70, 73.80
P00151, city, subway, 40.70, 73.80
P00152_hudsonmiseq, city, subway, 40.75, 73.94
P00152, city, subway, 40.75, 73.94
P00153_hudsonmiseq, city, subway, 40.74, 73.98
P00153, city, subway, 40.74, 73.98
P00154, city, subway, 40.74, 73.98
P00155_hudsonmiseq, city, subway, 40.75, 73.98
P00155, city, subway, 40.75, 73.98
P00156_hudsonmiseq, city, subway, 40.86, 73.91
P00156, city, subway, 40.86, 73.91
P00157, city, subway, 40.86, 73.91
P00158_hudsonmiseq, city, subway, 40.86, 73.91
P00158, city, subway, 40.86, 73.91
P00159_hudsonmiseq, city, subway, 40.85, 73.93
P00159, city, subway, 40.85, 73.93
P00160_hudsonmiseq, city, subway, 40.85, 73.93
P00160, city, subway, 40.85, 73.93
P00161, city, subway, 40.85, 73.93
P00162, city, subway, 40.84, 73.93
P00163_hudsonmiseq, city, subway, 40.84, 73.93
P00163, city, subway, 40.84, 73.93
P00164, city, subway, 40.84, 73.93
P00165, city, subway, 40.84, 73.94
P00166_hudsonmiseq, city, subway, 40.84, 73.94
